,gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
87750,43876,200010310ATL,NBA,0,2001,10/31/2000,1,0,ATL,Hawks,82,1366.9685,1354.0496,26.311759999999996,CHH,Pelicans,106,1557.8643,1570.7832,H,L,0.37209541,
87751,43876,200010310ATL,NBA,1,2001,10/31/2000,1,0,CHH,Pelicans,106,1557.8643,1570.7832,48.286263,ATL,Hawks,82,1366.9685,1354.0496,A,W,0.62790459,
87752,43877,200010310CHI,NBA,0,2001,10/31/2000,1,0,CHI,Bulls,81,1326.7501,1316.6208,23.012793,SAC,Kings,100,1535.6016,1545.7308,H,L,0.34828204,
87753,43877,200010310CHI,NBA,1,2001,10/31/2000,1,0,SAC,Kings,100,1535.6016,1545.7308,45.715614,CHI,Bulls,81,1326.7501,1316.6208,A,W,0.65171796,
87754,43878,200010310DAL,NBA,0,2001,10/31/2000,1,0,DAL,Mavericks,97,1541.3955,1545.2712,45.668037,MIL,Bucks,93,1522.6825,1518.8068,H,W,0.66448975,
87755,43878,200010310DAL,NBA,1,2001,10/31/2000,1,0,MIL,Bucks,93,1522.6825,1518.8068,42.910973,DAL,Mavericks,97,1541.3955,1545.2712,A,L,0.33551025,
87756,43879,200010310GSW,NBA,1,2001,10/31/2000,1,0,PHO,Suns,94,1593.0941,1585.4465,49.765251,GSW,Warriors,96,1346.8867,1354.5343,A,L,0.69880998,
87757,43879,200010310GSW,NBA,0,2001,10/31/2000,1,0,GSW,Warriors,96,1346.8867,1354.5343,26.3561,PHO,Suns,94,1593.0941,1585.4465,H,W,0.30119002,
87758,43880,200010310HOU,NBA,1,2001,10/31/2000,1,0,MIN,Timberwolves,106,1551.0792,1561.5936,47.349018,HOU,Rockets,98,1492.7748,1482.2604,A,W,0.44028169,
87759,43880,200010310HOU,NBA,0,2001,10/31/2000,1,0,HOU,Rockets,98,1492.7748,1482.2604,39.080212,MIN,Timberwolves,106,1551.0792,1561.5936,H,L,0.55971831,
87760,43881,200010310NJN,NBA,1,2001,10/31/2000,1,0,CLE,Cavaliers,86,1434.474,1443.5634,35.061714,NJN,Nets,82,1445.6179,1436.5286,A,W,0.34529269,
87761,43881,200010310NJN,NBA,0,2001,10/31/2000,1,0,NJN,Nets,82,1445.6179,1436.5286,34.341232,CLE,Cavaliers,86,1434.474,1443.5634,H,L,0.65470731,
87762,43882,200010310NYK,NBA,1,2001,10/31/2000,1,0,PHI,Sixers,101,1562.9823,1591.9641,50.415290999999996,NYK,Knicks,72,1554.9175,1525.9358,A,W,0.37069851,
87763,43882,200010310NYK,NBA,0,2001,10/31/2000,1,0,NYK,Knicks,72,1554.9175,1525.9358,43.656437,PHI,Sixers,101,1562.9823,1591.9641,H,L,0.62930149,
87764,43883,200010310ORL,NBA,1,2001,10/31/2000,1,0,WAS,Wizards,86,1436.0613,1431.0598,33.784019,ORL,Magic,97,1517.6755,1522.6770000000001,A,L,0.2600987,
87765,43883,200010310ORL,NBA,0,2001,10/31/2000,1,0,ORL,Magic,97,1517.6755,1522.6770000000001,43.315861,WAS,Wizards,86,1436.0613,1431.0598,H,W,0.7399013000000001,
87766,43884,200010310POR,NBA,0,2001,10/31/2000,1,0,POR,Trailblazers,86,1644.2251,1629.7705,54.07908199999999,LAL,Lakers,96,1643.8757,1658.3303,H,L,0.6405281999999999,
87767,43884,200010310POR,NBA,1,2001,10/31/2000,1,0,LAL,Lakers,96,1643.8757,1658.3303,56.704163,POR,Trailblazers,86,1644.2251,1629.7705,A,W,0.3594718,
87768,43885,200010310SAS,NBA,0,2001,10/31/2000,1,0,SAS,Spurs,98,1594.8212,1603.7402,51.577023,IND,Pacers,85,1615.0579,1606.1388,H,W,0.61281359,
87769,43885,200010310SAS,NBA,1,2001,10/31/2000,1,0,IND,Pacers,85,1615.0579,1606.1388,51.811504,SAS,Spurs,98,1594.8212,1603.7402,A,L,0.38718641,
87770,43886,200010310TOR,NBA,1,2001,10/31/2000,1,0,DET,Pistons,104,1517.3794,1529.743,44.05386,TOR,Raptors,95,1487.4464,1475.0828,A,W,0.40051055,
